Location_Name,Parent_Name,Households,Population,药材,纺织品,矿产/金属,畜产品/土特产,农产品,其他/待分类
合州,劍南道,66814,77220,藥實,葛,麩金,,橙; 牡丹,桃竹箸; 雙陸子; 書筒
龍州,劍南道,2992,4228,羚羊角; 厚朴; 附子; 天雄; 側子; 烏頭,,麩金,酥,葛粉,
普州,劍南道,25693,74692,天門冬煎,雙紃; 葛布,,,柑,
渝州,劍南道,6995,27685,藥實,葛,,,,
陵州,劍南道,34728,100128,續髓; 苦藥,鵝溪絹; 細葛,麩金,,,
榮州,劍南道,5639,18024,,紬; 班布; 葛,利鐵,,柑,
昌州,劍南道,,,麝香,,麩金; 鐵,,,
瀘州,劍南道,16594,65711,,葛布; 班布,麩金; 利鐵,,,
保寧都護府,劍南道,,,,,,,,
嶺南道,,,,,紵; 竹布,金; 銀,孔翠; 犀; 象; 綵藤,,蕉; 落麻
廣州,嶺南道,42235,221500,鼊皮; 鼈甲; 蚺蛇膽; 石斛; 沈香; 甲香; 詹糖香,藤簟; 竹席,銀,,荔支,
韶州,嶺南道,31000,168948,鍾乳; 石斛,竹布,,,,
循州,嶺南道,9525,,,布,,,,五色藤盤; 鏡匣; 蚺蛇膽; 甲煎; 鮫革; 荃臺; 綬草
潮州,嶺南道,4420,26745,蚺蛇膽,鮫革,銀石,甲香; 龜; 水馬,蕉,石井
康州,嶺南道,10510,17219,,,金; 銀,,,
瀧州,嶺南道,3627,9439,石斛,,銀,,,
端州,嶺南道,9500,21120,,,銀,,柑,
新州,嶺南道,9500,,,,金; 銀,,蕉,
封州,嶺南道,3900,11827,石斛,,銀,,,鮫革
潘州,嶺南道,4300,8967,,,銀,,,
春州,嶺南道,11218,,鍾乳; 石斛,,銀; 鉛,,,
勤州,嶺南道,682,1933,石斛,,金; 銀,,,
羅州,嶺南道,5460,8041,,,銀,孔雀; 鸚鵡,,
辯州,嶺南道,4858,16209,,竹鞵,銀,,,
高州,嶺南道,12400,,蚺蛇膽,,銀,,,
恩州,嶺南道,9000,,,,金; 銀,,,
雷州,嶺南道,4320,20572,,絲電,,孔雀,,班竹
崖州,嶺南道,819,,,,金; 銀,,,珠; 玳瑁; 高良薑
瓊州,嶺南道,649,,,,金,,,
振州,嶺南道,819,2821,,班布,金,,,五色藤盤; 食單
儋州,嶺南道,3390,,,,金,糖香,,
萬安州,嶺南道,2997,,,,金; 銀,,,
邕州,嶺南道,2893,7302,,,金; 銀,,,
澄州,嶺南道,1368,8580,,,金; 銀,,,
賓州,嶺南道,1976,8580,,,,,,藤器
橫州,嶺南道,1978,8342,,,金; 銀,,,
潯州,嶺南道,2500,6836,,,金; 銀,,,
巒州,嶺南道,770,3803,,,金; 銀,,,
欽州,嶺南道,2700,10146,,,金; 銀,翠羽; 高良薑,,
貴州,嶺南道,3026,9300,,紵布,金; 銀; 鉛器,,,
龔州,嶺南道,9000,21000,,,銀,,,
象州,嶺南道,5500,10890,,,銀,,,藤器
藤州,嶺南道,3980,,,,銀,,,
巖州,嶺南道,1110,,,,金,,,
宜州,嶺南道,1220,3230,,,銀,,,丹沙
瀼州,嶺南道,1666,,,,,,,
籠州,嶺南道,3667,,,,,,,
田州,嶺南道,4168,,,,,,,
環州,嶺南道,,,,,,,,
桂州,嶺南道,17500,71018,,簟,銀; 銅器,麖皮鞾,,
梧州,嶺南道,1209,,,,銀; 白石英,,,
賀州,嶺南道,4552,20570,鍾乳,,銀; 銅; 鐵; 錫,,,
連州,嶺南道,32210,143533,鍾乳,竹紵練; 白紵細布,赤錢; 水銀; 丹沙; 白鑞; 銀; 鐵; 金; 銅,,,
柳州,嶺南道,2232,11550,蚺蛇膽,,銀,,,
富州,嶺南道,1460,8586,,班布,銀,,,
昭州,嶺南道,4918,12691,,,銀,,,
蒙州,嶺南道,1059,5933,,,麩金; 銀,,,
嚴州,嶺南道,1859,7051,,,銀,,,
融州,嶺南道,1232,,桂心,,金,,,
思唐州,嶺南道,141,,,,銀,,,
古州,嶺南道,285,,,,,蠟,,
容州,嶺南道,4970,17085,丹沙; 水銀,,銀,,,
牢州,嶺南道,1641,11756,,布,銀,,,
白州,嶺南道,2574,9498,,,金; 銀; 珠,,,
順州,嶺南道,509,,,,銀,,,
繡州,嶺南道,9773,,,,金,,,
鬱林州,嶺南道,1918,9699,,布,,,,
黨州,嶺南道,1149,7404,,,金; 銀,,,
竇州,嶺南道,1019,7339,,,銀,,,
禺州,嶺南道,3180,,,,銀,,,
廉州,嶺南道,3032,13029,,,銀,,,
義州,嶺南道,1110,7303,,,銀,,,
安南中都護府,嶺南道,24230,99652,蚺蛇膽,,,鮫革; 翠羽,蕉; 檳榔,
陸州,嶺南道,494,2674,,,銀,,,玳瑁; 鼊皮; 翠羽; 甲香
峯州,嶺南道,1920,,蚺蛇膽; 豆蔻,,銀; 白鑞,,,藤器
愛州,嶺南道,14700,,,紗; 絁,,孔雀尾,,
驩州,嶺南道,9619,50818,,,金; 金薄,,,黃屑; 象齒; 犀角; 沈香; 班竹
長州,嶺南道,648,,,,金,,,
福祿州,嶺南道,317,,,,白鑞; 紫𨥥,,,
湯州,嶺南道,,,,,金,,,
芝州,嶺南道,1200,5300,,,,,,
武峩州,嶺南道,1850,5320,,,,,,
演州,嶺南道,1450,,,,金,,,
武安州,嶺南道,450,,,朝霞布,金,,,
